0;1;2;3;4;5;6;7;8;9;10;20_похожих
Поколение Вояджер;Фантастика;Триллер;Космическая;Новинки (2020–2025);6.212;1261585;Voyagers;5.5;4.9;;"Внеземное эхо;Ангар 18;Штамм Андромеда;Знаки;Андроид;Параграф 78: Фильм первый;2067: Петля времени;2:22;Каин XVIII;#выжить;Экзистенция;Кислород;Обратимая реальность;Пятое измерение;Флешбэк;Скольжение;Разделитель;Лимб;Вычислитель;Человек из будущего"
Я — Четвертый;Фантастика;Боевик (Экшен);Альтернативная реальность;Современное кино (2000–2020);6.413;468872;I Am Number Four;6.1;4.7;;"Начало;Район №9;День Доктора;Грань будущего;Эквилибриум;Дежавю;Вступление;Патруль времени;Хранитель времени;Время;Другой мир 2: Эволюция;Тихоокеанский рубеж;Мы из будущего;Районы;Вне времени;Код 8;Хроника;Телепорт;Побеждая время;Суррогаты"
Звездный путь;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);7.769;255129;Star Trek;7.9;8.1;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи;Валериан и город тысячи планет"
Трон;Фантастика;Боевик (Экшен);Альтернативная реальность;Классика (до 2000 года);6.889;17463;Tron;6.7;6.3;;"Чужие среди нас;Кадры;Начало;Человек-Паук: Паутина Вселенных;Район №9;День Доктора;Грань будущего;Эквилибриум;Дежавю;Все везде и сразу;Довод;Вступление;Патруль времени;Хранитель времени;Время;Другой мир 2: Эволюция;Тихоокеанский рубеж;Мы из будущего;Районы;Вне времени"
Куб Зеро;Фантастика;Ужасы;Альтернативная реальность;Современное кино (2000–2020);5.972;61428;Cube Zero;5.6;7.2;;"Виктор Франкенштейн;Мерцающий;Вивариум;Морган;Парадокс Кловерфилда;Райские холмы;Вторжение похитителей тел;Мертвая зона;Преступления будущего;За гранью реальности;28 недель спустя;Жизнь;Монстры;Я - легенда;Я — легенда;Эпидемия. Вонгозеро;Прометей;Платформа;Пандорум;Птичий короб"
Луна;Фантастика;Драма;Космическая;Современное кино (2000–2020);8.009;592302;La Luna;7.8;0;;"Интерстеллар;Планета Ка-Пэкс;Луна 2112;Starперцы;К звездам;Космическая одиссея 2010;2001 год: Космическая одиссея;Солярис;Контакт;Выстрел в пустоту;Близкие контакты третьей степени;На Луне;Новая Земля;Воспоминания;Донни Дарко;Прибытие;Господин Никто;Человек с Земли;Искусственный разум;Ева"
Матрица: Революция;Фантастика;Боевик (Экшен);Киберпанк;Современное кино (2000–2020);7.633;316;The Matrix Revolutions;6.7;5.3;;"Апгрейд;Призрак в доспехах 2: Невинность;Аниматрица;Матрица: Перезагрузка;Аниматрица: История одного ребенка;Алита: Боевой ангел;Робот по имени Чаппи;Трон: Наследие;Робот;Континуум;Авалон;Робо;Матрица;Акира;Робокоп;РобоКоп;Четвертый;Призрак в доспехах;Нирвана;Джонни Мнемоник"
Акира;Фантастика;Боевик (Экшен);Киберпанк;Классика (до 2000 года);7.886;8224;Akira;8;7.9;;"Матрица;Робокоп;РобоКоп;Призрак в доспехах;Нирвана;Джонни Мнемоник;Виртуозность;Случайный доступ;Робокоп 2;Робокоп 3;Андроид-полицейский;Апгрейд;Призрак в доспехах 2: Невинность;Аниматрица;Матрица: Перезагрузка;Аниматрица: История одного ребенка;Алита: Боевой ангел;Матрица: Революция;Робот по имени Чаппи;Трон: Наследие"
За гранью;Фантастика;Драма;Альтернативная реальность;Современное кино (2000–2020);7.388;8051;Beyond Borders;6.4;4.3;;"Донни Дарко;Прибытие;Господин Никто;Человек с Земли;Искусственный разум;Фонтан;Ванильное небо;Облако;Другая Земля;Дети моря;Ева: Искусственный разум;Предчувствие;Множество;Конгресс;Жизнь за гранью;Комната желаний;Трудно быть богом;Трудно быть Богом;Источник;Индиго"
Темный город;Фантастика;Триллер;Альтернативная реальность;Классика (до 2000 года);0;340644;Dark Town;3.2;0;;"Открой глаза;Тринадцатый этаж;Куб;Филадельфийский эксперимент;Сфера;2:22;Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Исходный код;Хранители;Пиджак;Петля времени;Меняющие реальность;Скрижали судьбы"
Новая Земля;Фантастика;Драма;Космическая;Новинки (2020–2025);6.973;408403;;6.6;0;;"Выстрел в пустоту;На Луне;Космическая одиссея 2010;2001 год: Космическая одиссея;Интерстеллар;Солярис;Контакт;Луна;Планета Ка-Пэкс;Луна 2112;Близкие контакты третьей степени;Starперцы;Воспоминания;К звездам;Пробуждение;Воскресение;00:10;Новая жизнь;Отроки во вселенной;Финч"
Стражи Галактики;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);7.859;689066;Guardians of the Galaxy;8;7.9;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи;Валериан и город тысячи планет"
Воспоминания;Фантастика;Драма;Космическая;Классика (до 2000 года);6.59;811078;Reminiscence;5.9;5.1;;"Космическая одиссея 2010;2001 год: Космическая одиссея;Солярис;Контакт;Близкие контакты третьей степени;Интерстеллар;Луна;Планета Ка-Пэкс;Луна 2112;Выстрел в пустоту;На Луне;Новая Земля;Starперцы;К звездам;Метрополис;Сталкер;Гаттака;Письма мертвого человека;Двухсотлетний человек;Феномен"
Во власти Луны;Фантастика;Боевик (Экшен);Космическая;Новинки (2020–2025);7.386;20586;Moonstruck;7.2;7.8;;"Дюна;Вечные;Бессмертные: Война миров;Вторжение;Падение Луны;Война миров: Вторжение;Звездный рубеж;Шестой элемент;Ковбой Бибоп;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Звездные войны: Эпизод 6 — Возвращение Джедая;Чужие;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Пятый элемент;Звездный путь"
Армагеддон;Фантастика;Боевик (Экшен);Космическая;Классика (до 2000 года);7.78;2941;Armageddon;6.7;5.3;;"Шестой элемент;Ковбой Бибоп;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Звездные войны: Эпизод 6 — Возвращение Джедая;Чужие;Пятый элемент;Вспомнить все;Звездный путь 2: Гнев Хана;Звездный путь: Первый контакт;Звездный десант;День независимости;Звездный путь 7: Поколения;Звездный путь: Возмездие;Метеор – убийца;М-Агент;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов"
Стражи Галактики. Часть 2;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);7.782;841263;Guardians of the Galaxy Vol. 2;7.6;7.3;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи"
Скольжение;Фантастика;Триллер;Альтернативная реальность;Новинки (2020–2025);6.262;734725;;5.8;0;;"2:22;Экзистенция;Кислород;Обратимая реальность;Пятое измерение;Флешбэк;Разделитель;Лимб;Человек из будущего;Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Открой глаза;Исходный код;Хранители"
Обитаемый остров: Схватка;Фантастика;Боевик (Экшен);Постапокалипсис;Современное кино (2000–2020);4.151;374715;;5;0;;"Поле битвы: Земля;Район 37;2012;Люди Икс: Дни минувшего будущего;Восстание планеты обезьян;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог;Планета обезьян: Революция;Metallica: Сквозь невозможное;Голодные игры;Планета обезьян: Война;Послезавтра;Обливион;Война миров Z;Книга Илая;Сквозь снег;Бегущий в лабиринте;Дивергент;Элизиум: Рай не на Земле"
Пассажиры;Фантастика;Мелодрама;Космическая;Современное кино (2000–2020);7.242;470689;Passengers;7;5;;"Орбита 9;Космос между нами;Слияние двух лун;Твое имя;Она;Фейерверк;Воспоминания о будущем;Жена путешественника во времени;Частоты;Путешествие времени;Зои;Ремнант: все еще вижу тебя;Равные;Вверх тормашками;Интерстеллар;Доктор Кто: Мужья Ривер Сонг;Путешествие на край Вселенной;Жизнь;Звездные Войны: Войны клонов;Звездные войны: Войны клонов"
5-я волна;Фантастика;Боевик (Экшен);Постапокалипсис;Современное кино (2000–2020);5.163;673157;The 5th Wave;5.2;4.3;;"Поле битвы: Земля;Район 37;2012;Люди Икс: Дни минувшего будущего;Восстание планеты обезьян;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог;Планета обезьян: Революция;Metallica: Сквозь невозможное;Голодные игры;Планета обезьян: Война;Послезавтра;Обливион;Война миров Z;Книга Илая;Сквозь снег;Бегущий в лабиринте;Дивергент;Элизиум: Рай не на Земле"
После пробуждения;Фантастика;Драма;Альтернативная реальность;Новинки (2020–2025);6.164;1449918;Time Is Up;4.3;0;;"00:10;Новая жизнь;Аквариум;Воспоминания из будущего;Добро пожаловать в рай;Параллельные миры;Райский проект;Параллельный мир;После нашей эры;Страна чудес;Донни Дарко;Гаттака;Прибытие;Господин Никто;Человек с Земли;Искусственный разум;Фонтан;Ванильное небо;Феномен;Хронос"
Куб;Фантастика;Триллер;Альтернативная реальность;Классика (до 2000 года);7.221;20590;Cube;7.1;6.3;;"Открой глаза;Тринадцатый этаж;Филадельфийский эксперимент;Сфера;Темный город;2:22;Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Исходный код;Хранители;Пиджак;Петля времени;Меняющие реальность;Скрижали судьбы"
Следопыт;Фантастика;Боевик (Экшен);Постапокалипсис;Новинки (2020–2025);5.59;161149;Pathfinder;5.4;3.7;;"Гонка на вымирание;Титан: После гибели Земли;День первый;Голодные игры: Баллада о певчих птицах и змеях;Вторжение динозавра;Гренландия;Мой создатель;Новая эра Z;Черный квадрат;Небо падших;Поступь хаоса;Эра выживания;Вторжение: Битва за рай;Пустошь тьмы и зла;Закат цивилизации;Потерянное будущее;Код апокалипсиса;Поле битвы: Земля;Район 37;Терминатор 2 - 3D"
Гиперболоид инженера Гарина;Фантастика;Боевик (Экшен);Другое;Классика (до 2000 года);6.843;44507;;6.4;0;;"Бездна;Шестой элемент;Терминатор 2 - 3D;Ковбой Бибоп;Матрица;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Звездные войны: Эпизод 6 — Возвращение Джедая;Чужие;Терминатор;Акира;Пятый элемент;Робокоп;РобоКоп;Вспомнить все;Звездный путь 2: Гнев Хана;Звездный путь: Первый контакт;Звездный десант;День независимости;Армагеддон"
Годзилла;Фантастика;Ужасы;Постапокалипсис;Классика (до 2000 года);6.139;260991;Godzilla;6.4;6.7;;"Остров доктора Моро;28 недель спустя;Противостояние;Монстры;Я - легенда;Я — легенда;Эпидемия. Вонгозеро;Платформа;Птичий короб;Аннигиляция;Девятки;Атака Юрского периода;Чужой;Вторжение похитителей тел;Мертвая зона;Вирус;Пришельцы 2: Коридоры времени;Сквозь горизонт;Чужой 3;Чужой 4: Воскрешение"
Зеркало для героя;Фантастика;Приключения;Альтернативная реальность;Классика (до 2000 года);7.839;45276;;7.4;0;;"Назад в будущее 2;Парк Юрского периода;Назад в будущее 3;Назад во времени;Доктор Кто: Глубокий вдох;Аватар: Путь воды;Аватар 2: Путь воды;Патэма наоборот;Супер 8;Ловушка времени;Машина времени;Земля будущего;Лига выдающихся джентльменов;В ловушке времени;Мир будущего;Навсикая из долины ветров;Тайна третьей планеты;Звездный путь 4: Дорога домой;Черная дыра;Человек-амфибия"
Множество;Фантастика;Драма;Альтернативная реальность;Современное кино (2000–2020);6.916;4174;Multiplicity;6.2;5.5;;"Донни Дарко;Прибытие;Господин Никто;Человек с Земли;Искусственный разум;Фонтан;Ванильное небо;Облако;Другая Земля;За гранью;Дети моря;Ева: Искусственный разум;Предчувствие;Конгресс;Жизнь за гранью;Комната желаний;Трудно быть богом;Трудно быть Богом;Источник;Индиго"
Два мира;Фантастика;Мелодрама;Альтернативная реальность;Новинки (2020–2025);6.3;;;;;;"Временная связь;Я создан для тебя;Четвертое желание;Фантастическая любовь и где ее найти;Два мира;Два мира;Два мира;Два мира;Два мира;Два мира;Двое во Вселенной;Два мира;Последний романтик планеты Земля;Твое имя;Она;Фейерверк;Воспоминания о будущем;Жена путешественника во времени;Вечно молодой;Частоты"
Легион;Фантастика;Боевик (Экшен);Постапокалипсис;Современное кино (2000–2020);5.598;426002;Legion;5.3;0;;"Поле битвы: Земля;Район 37;2012;Люди Икс: Дни минувшего будущего;Восстание планеты обезьян;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог;Планета обезьян: Революция;Metallica: Сквозь невозможное;Голодные игры;Планета обезьян: Война;Послезавтра;Обливион;Война миров Z;Книга Илая;Сквозь снег;Бегущий в лабиринте;Дивергент;Элизиум: Рай не на Земле"
Я - легенда;Фантастика;Ужасы;Постапокалипсис;Современное кино (2000–2020);7.873;195524;I Am Legend;7.2;6.3;;"28 недель спустя;Монстры;Я — легенда;Эпидемия. Вонгозеро;Платформа;Птичий короб;Аннигиляция;Девятки;Атака Юрского периода;Противостояние;Годзилла;Остров доктора Моро;Жизнь;Прометей;Пандорум;Чужой: Завет;Виктор Франкенштейн;Ловец снов;Лайф;Мерцающий"
Жизнь;Фантастика;Ужасы;Космическая;Современное кино (2000–2020);8.615;586187;One Life;7.9;6.8;;"Прометей;Пандорум;Чужой: Завет;Ловец снов;Лайф;Последние дни на Марсе;Призраки Марса;Инопланетное похищение;Скайлайн;В плену у космоса;Чужой;Вирус;Пришельцы 2: Коридоры времени;Сквозь горизонт;Чужой 3;Спутник;Чужой 4: Воскрешение;Особь;Дальний космос;Особь 2"
Куб 2: Гиперкуб;Фантастика;Триллер;Альтернативная реальность;Современное кино (2000–2020);6.359;8121;Cube 2: Hypercube;5.5;5.2;;"Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Исходный код;Хранители;Пиджак;Петля времени;Меняющие реальность;Скрижали судьбы;Предел риска;Вход в никуда;Без границ;Матрица времени;ARQ;Пуленепробиваемый"
Феномен;Фантастика;Драма;Альтернативная реальность;Классика (до 2000 года);7.522;4768;Phenomenon;6.5;5.9;;"Гаттака;Хронос;Кокон;Эксперимент «За стеклом»;Донни Дарко;Прибытие;Господин Никто;Человек с Земли;Искусственный разум;00:10;Фонтан;Новая жизнь;Ванильное небо;Облако;Аквариум;Другая Земля;За гранью;Воспоминания из будущего;Дети моря;Ева: Искусственный разум"
Жена путешественника во времени;Фантастика;Мелодрама;Альтернативная реальность;Современное кино (2000–2020);7.653;102128;The Time Traveler's Wife;7.1;5.1;;"Твое имя;Она;Фейерверк;Воспоминания о будущем;Частоты;Путешествие времени;Зои;Равные;Вверх тормашками;Временная связь;Я создан для тебя;Четвертое желание;Вечно молодой;Фантастическая любовь и где ее найти;Два мира;Два мира;Два мира;Два мира;Два мира;Два мира"
Добро пожаловать в рай;Фантастика;Драма;Альтернативная реальность;Новинки (2020–2025);6.931;61261;Into the Blue;5.9;4.1;;"00:10;Новая жизнь;Аквариум;Воспоминания из будущего;Параллельные миры;Райский проект;Параллельный мир;После нашей эры;После пробуждения;Страна чудес;Донни Дарко;Гаттака;Прибытие;Господин Никто;Человек с Земли;Искусственный разум;Фонтан;Ванильное небо;Феномен;Хронос"
Мир Дикого Запада;Фантастика;Триллер;Альтернативная реальность;Современное кино (2000–2020);7.807;195523;Westworld;8.4;0;;"Сигнал;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Исходный код;Хранители;Пиджак;Петля времени;Меняющие реальность;Скрижали судьбы;Предел риска;Вход в никуда;Без границ;Матрица времени;ARQ;Пуленепробиваемый;Круг"
Гаттака;Фантастика;Драма;Альтернативная реальность;Классика (до 2000 года);7.968;5012;Gattaca;7.7;7.2;;"Феномен;Хронос;Кокон;Эксперимент «За стеклом»;Донни Дарко;Прибытие;Господин Никто;Человек с Земли;Искусственный разум;00:10;Фонтан;Новая жизнь;Ванильное небо;Облако;Аквариум;Другая Земля;За гранью;Воспоминания из будущего;Дети моря;Ева: Искусственный разум"
Парадокс Кловерфилда;Фантастика;Ужасы;Альтернативная реальность;Современное кино (2000–2020);5.886;722816;The Cloverfield Paradox;5.5;4.6;;"Виктор Франкенштейн;Мерцающий;Вивариум;Куб Зеро;Морган;Райские холмы;Вторжение похитителей тел;Мертвая зона;Преступления будущего;За гранью реальности;28 недель спустя;Жизнь;Монстры;Я - легенда;Я — легенда;Эпидемия. Вонгозеро;Прометей;Платформа;Пандорум;Птичий короб"
Другой мир 2: Эволюция;Фантастика;Боевик (Экшен);Альтернативная реальность;Современное кино (2000–2020);7.031;77441;Underworld: Evolution;6.7;3.9;;"Начало;Район №9;День Доктора;Грань будущего;Эквилибриум;Дежавю;Вступление;Патруль времени;Хранитель времени;Время;Тихоокеанский рубеж;Мы из будущего;Районы;Вне времени;Код 8;Хроника;Телепорт;Побеждая время;Суррогаты;Люси"
Звездные Войны: Эпизод III - Месть ситхов;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);8.124;5619;Star Wars: Episode III - Revenge of the Sith;7.6;7.2;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи;Валериан и город тысячи планет"
Открой глаза;Фантастика;Триллер;Альтернативная реальность;Классика (до 2000 года);7.573;8362;Abre los ojos;7.7;7.4;;"Тринадцатый этаж;Куб;Филадельфийский эксперимент;Сфера;Темный город;2:22;Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Исходный код;Хранители;Пиджак;Петля времени;Меняющие реальность;Скрижали судьбы"
Звездный путь: Первый контакт;Фантастика;Боевик (Экшен);Космическая;Классика (до 2000 года);7.109;3475;Star Trek: First Contact;7.6;7.5;;"Шестой элемент;Ковбой Бибоп;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Звездные войны: Эпизод 6 — Возвращение Джедая;Чужие;Пятый элемент;Вспомнить все;Звездный путь 2: Гнев Хана;Звездный десант;День независимости;Армагеддон;Звездный путь 7: Поколения;Звездный путь: Возмездие;Метеор – убийца;М-Агент;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов"
Тихая ночь;Фантастика;Драма;Постапокалипсис;Новинки (2020–2025);6.42;1345777;Silent Night;5.8;6.3;;"Пробуждение;Воскресение;Отроки во вселенной;Финч;После Чернобыля;Сталкер;Письма мертвого человека;Облачный атлас;Дитя человеческое;Потерянное Рождество;Земля: Жизнь без людей;Гадкие лебеди;Ровер;Z — значит Захария;Гольфстрим под айсбергом;Последний день Земли;Москва 2017;Выстрел в пустоту;00:10;Новая жизнь"
Звездные войны: Эпизод 3 - Месть Ситхов;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);8.124;5619;Star Wars: Episode III - Revenge of the Sith;7.6;7.2;;"Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи;Валериан и город тысячи планет"
Звездные войны: Эпизод 6 — Возвращение Джедая;Фантастика;Боевик (Экшен);Космическая;Классика (до 2000 года);8.152;447;Star Wars: Episode VI - Return of the Jedi;8.3;7.6;;"Шестой элемент;Ковбой Бибоп;Звездные войны: Эпизод 5 — Империя наносит ответный удар;Звездные войны: Эпизод 4 — Новая надежда;Чужие;Пятый элемент;Вспомнить все;Звездный путь 2: Гнев Хана;Звездный путь: Первый контакт;Звездный десант;День независимости;Армагеддон;Звездный путь 7: Поколения;Звездный путь: Возмездие;Метеор – убийца;М-Агент;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов"
Завод;Фантастика;Триллер;Киберпанк;Современное кино (2000–2020);7.189;993591;;6.7;0;;"Бегущий по лезвию 2049;Из машины;Механическая сюита;Превосходство;Анон;Машина;Темное зеркало;Каин XVIII;Странные дни;Хакеры;Вычислитель;Звездный разум;Заговор Оберона;Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Оставленные;Мираж;Области тьмы"
Призрак в доспехах 2: Невинность;Фантастика;Боевик (Экшен);Киберпанк;Современное кино (2000–2020);7.671;50255;Innocence;7.4;6.3;;"Апгрейд;Аниматрица;Матрица: Перезагрузка;Аниматрица: История одного ребенка;Алита: Боевой ангел;Матрица: Революция;Робот по имени Чаппи;Трон: Наследие;Робот;Континуум;Авалон;Робо;Матрица;Акира;Робокоп;РобоКоп;Четвертый;Призрак в доспехах;Нирвана;Джонни Мнемоник"
Киборг;Фантастика;Боевик (Экшен);Постапокалипсис;Классика (до 2000 года);6.015;4010;Cyborg;5;3.5;;"Терминатор 2 - 3D;Терминатор;Водная жизнь;Побег из Нью-Йорка;Судья Дредд;Водный мир;Искатель воды;Терминатор 2: судный день;Завоевание планеты обезьян;Безумный Макс 3: Под куполом грома;Человек Омега;Поле битвы: Земля;Район 37;2012;Гонка на вымирание;Люди Икс: Дни минувшего будущего;Восстание планеты обезьян;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог"
Флешбэк;Фантастика;Триллер;Альтернативная реальность;Новинки (2020–2025);6.624;1355142;Memory;5.8;4.7;;"2:22;Экзистенция;Кислород;Обратимая реальность;Пятое измерение;Скольжение;Разделитель;Лимб;Человек из будущего;Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Открой глаза;Исходный код;Хранители"
Звездные Войны: Войны клонов;Фантастика;Боевик (Экшен);Космическая;Современное кино (2000–2020);7.608;229861;Star Wars: The Clone Wars;8.5;0;;"Звездные войны: Войны клонов;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Звездный путь;Стартрек: Возмездие;Гравитация;Миссия «Серенити»;Изгой-Один. Звездные войны: Истории;Звездные врата: Континуум;Звездные войны: Пробуждение силы;Звездные войны: Эпизод 2 — Атака клонов;Звездные врата: Ковчег Истины;Последняя фантазия;Люди в черном 3;Хроники Риддика;Война миров;Бамблби;Звездные войны: Последние джедаи;Валериан и город тысячи планет"
Хроника;Фантастика;Боевик (Экшен);Альтернативная реальность;Современное кино (2000–2020);6.688;559242;Chronicle;7;7.1;;"Начало;Район №9;День Доктора;Грань будущего;Эквилибриум;Дежавю;Вступление;Патруль времени;Хранитель времени;Время;Другой мир 2: Эволюция;Тихоокеанский рубеж;Мы из будущего;Районы;Вне времени;Код 8;Телепорт;Побеждая время;Суррогаты;Люси"
Ловец снов;Фантастика;Ужасы;Космическая;Современное кино (2000–2020);6.645;6060;Dreamcatcher;5.5;4.8;;"Жизнь;Прометей;Пандорум;Чужой: Завет;Лайф;Последние дни на Марсе;Призраки Марса;Инопланетное похищение;Скайлайн;В плену у космоса;Чужой;Вирус;Пришельцы 2: Коридоры времени;Сквозь горизонт;Чужой 3;Спутник;Чужой 4: Воскрешение;Особь;Дальний космос;Особь 2"
Первые на Луне;Фантастика;Детектив;Космическая;Современное кино (2000–2020);6.869;160990;;6.7;0;;"Марс Экспресс;Секретные материалы: Борьба за будущее;Интерстеллар;Доктор Кто: Мужья Ривер Сонг;Путешествие на край Вселенной;Жизнь;Звездные Войны: Войны клонов;Звездные войны: Войны клонов;Луна;Стражи Галактики;Звездные Войны: Эпизод III - Месть ситхов;Звездные войны: Эпизод 3 - Месть Ситхов;Аватар;Марсианин;Звездный путь;Планета Ка-Пэкс;Луна 2112;Стартрек: Возмездие;Гравитация;Изгой-Один. Звёздные Войны: Истории"
Тайна 7 сестер;Фантастика;Триллер;Постапокалипсис;Современное кино (2000–2020);6.833;484628;What Happened to Monday;6.8;5.9;;"Оставленные;Эпидемия;Заражение;Предсказание;Вымирание;2067: Петля времени;12 обезьян;#выжить;Разлом;Бегущий по лезвию 2049;Сигнал;Мир Дикого Запада;Врата Штейна: Дежавю;Эффект бабочки;Мираж;Области тьмы;Дежа вю;Особое мнение;Исходный код;Хранители"
Терминатор 2 - 3D;Фантастика;Боевик (Экшен);Постапокалипсис;Классика (до 2000 года);7.683;6299;T2 3-D: Battle Across Time;7.6;0;;"Терминатор;Водная жизнь;Побег из Нью-Йорка;Судья Дредд;Водный мир;Искатель воды;Терминатор 2: судный день;Завоевание планеты обезьян;Безумный Макс 3: Под куполом грома;Человек Омега;Киборг;Поле битвы: Земля;Район 37;2012;Гонка на вымирание;Люди Икс: Дни минувшего будущего;Восстание планеты обезьян;Голодные игры: И вспыхнет пламя;Последняя фантазия 7: Дети пришествия;Снежный пирог"
Каин XVIII;Фантастика;Триллер;Киберпанк;Новинки (2020–2025);7.702;44671;;7.2;0;;"Вычислитель;Звездный разум;Заговор Оберона;Бегущий по лезвию 2049;Из машины;Странные дни;Механическая сюита;Завод;Хакеры;Превосходство;Анон;Машина;Темное зеркало;2067: Петля времени;2:22;#выжить;Экзистенция;Кислород;Обратимая реальность;Пятое измерение"
